,이름,X,Y,대분류,탄소배출량
299,컵피옥,129.0244844,35.1033159,커피,0.18
300,어나더문,129.0257674,35.103287,커피,0.18
301,섭이닭강정,129.0264814,35.1033711,닭고기류,0.3
302,삼겹이네,129.0260741,35.1032574,돼지고기류,1.6
303,태양아래 오리마을,129.0215139,35.1034762,소고기류,7.833
304,우리글방,129.0268853,35.1032235,커피,0.18
305,두찜,129.0238175,35.1052415,닭고기류,0.3
306,블레싱커피,129.0281189,35.1036277,커피,0.18
307,광복경양식,129.0259531,35.1032314,면류,1.3
308,하이앤드하우스,129.0266962,35.1038831,커피,0.18
309,샬롬분식,129.0238746,35.1063047,패스트푸드류,2.6
