업체명,경도,위도,숙박유형,숙박점수
영광숙박,129.0556089,35.14076529,펜션/민박/유스호스텔,8.51
안드레연수원,129.0593022,35.13091171,캠핑/카라반/글램핑,7.98
황토방모텔,129.0609962,35.13872003,펜션/민박/유스호스텔,8.51
수채화모텔,129.0616192,35.13872579,펜션/민박/유스호스텔,8.51
틴토호텔,129.0607742,35.13830679,호텔/리조트,28.03
허브모텔,129.0589071,35.13877091,펜션/민박/유스호스텔,8.51
프린스호텔,129.0588743,35.13929949,호텔/리조트,28.03
천지장여관,129.058345,35.13949438,펜션/민박/유스호스텔,8.51
낙원여인숙,129.0597627,35.13731506,펜션/민박/유스호스텔,8.51
CC호텔,129.0606487,35.13749011,호텔/리조트,28.03
U모텔,129.0610439,35.13766137,펜션/민박/유스호스텔,8.51
산수모텔,129.0604073,35.13777822,펜션/민박/유스호스텔,8.51
U모텔,129.0610411,35.13765203,펜션/민박/유스호스텔,8.51
산수모텔,129.0604072,35.13777816,펜션/민박/유스호스텔,8.51
화신장여관,129.0620319,35.13653407,펜션/민박/유스호스텔,8.51
모텔369,129.0621177,35.13486904,펜션/민박/유스호스텔,8.51
코리아시티관광호텔,129.0635292,35.1380428,호텔/리조트,28.03
미진모텔,129.0610287,35.13975763,펜션/민박/유스호스텔,8.51
청운모텔,129.0610059,35.13951918,펜션/민박/유스호스텔,8.51
미진모텔,129.0610228,35.13975049,펜션/민박/유스호스텔,8.51
지앤지모텔,129.0632679,35.13927687,펜션/민박/유스호스텔,8.51
호텔라메르,129.0623238,35.14050523,호텔/리조트,28.03
하운드호텔,129.061939,35.14018498,호텔/리조트,28.03
라메르관광호텔,129.0622834,35.14048123,호텔/리조트,28.03
라온호텔,129.061896,35.14032664,호텔/리조트,28.03
루이스호텔,129.0620139,35.14039166,호텔/리조트,28.03
나포리모텔,129.0602848,35.13843013,펜션/민박/유스호스텔,8.51
리젠시모텔,129.0607582,35.13870614,펜션/민박/유스호스텔,8.51
스토리하우스,129.0604789,35.13844313,펜션/민박/유스호스텔,8.51
K7모텔,129.0605,35.13855096,펜션/민박/유스호스텔,8.51
허브모텔,129.0606193,35.13842203,펜션/민박/유스호스텔,8.51
해동모텔,129.0602694,35.14012607,펜션/민박/유스호스텔,8.51
리젠시모텔,129.0607673,35.13871811,펜션/민박/유스호스텔,8.51
리치모텔,129.0607998,35.1385407,펜션/민박/유스호스텔,8.51
삼성장여관,129.0556784,35.13613372,펜션/민박/유스호스텔,8.51
영모텔,129.0557433,35.13648271,펜션/민박/유스호스텔,8.51
브라운도트 호텔 범일점,129.056931,35.14027189,호텔/리조트,28.03
브라운도트호텔,129.056931,35.14027189,호텔/리조트,28.03
프린스모텔,129.0404349,35.1174461,펜션/민박/유스호스텔,8.51
송림장,129.0607677,35.13843727,펜션/민박/유스호스텔,8.51
힐모텔,129.0459675,35.12793217,펜션/민박/유스호스텔,8.51
힐모텔,129.0459622,35.12795883,펜션/민박/유스호스텔,8.51
꿈모텔,129.0475848,35.12952793,펜션/민박/유스호스텔,8.51
보건탕,129.0430162,35.12542534,펜션/민박/유스호스텔,8.51
경남여인숙,129.0457944,35.12754479,펜션/민박/유스호스텔,8.51
월성여인숙,129.0496354,35.13032769,펜션/민박/유스호스텔,8.51
프라임관광호텔,129.0502138,35.13058708,호텔/리조트,28.03
동명여인숙,129.0495424,35.1302343,펜션/민박/유스호스텔,8.51
브라운도트 호텔 부산진역점,129.048421,35.12952113,호텔/리조트,28.03
영빈관모텔,129.0479497,35.12952093,펜션/민박/유스호스텔,8.51
청명여인숙,129.0480293,35.12961756,펜션/민박/유스호스텔,8.51
수정장여관,129.0435385,35.12531392,펜션/민박/유스호스텔,8.51
동원장여관,129.0436893,35.12564929,펜션/민박/유스호스텔,8.51
